symbol,product_type,put_call,strike,net_position,price,currency,multiplier,maturity_date
B3SA3,OP,P,13.31,135400,2.147586346,BRL,1,2021-7-12
BRDT3,OP,C,23.5,163100,0.5210516453,BRL,1,2022-1-1
VIIA3,OP,P,9.2,200,3.932798862,BRL,1,2021-7-12
ABEV,OP,P,13.07,-3500,0.01300912071,BRL,1,2021-7-12
VIIA3,OP,P,8.3,-4200,3.040577173,BRL,1,2021-7-12
VALE3,OP,C,76.97,10500,2.088038445,BRL,1,2022-1-1
ELET6,OP,C,36.5,18000,0.5933261514,BRL,1,2022-1-1
BBDC4,OP,C,22.64,125300,0.04665941745,BRL,1,2021-7-12
PETR4,OP,C,38.1,-100,0.4201334715,BRL,1,2022-8-3
ABEV,OP,P,15.5,-214400,0.4909126461,BRL,1,2022-1-1
AAPL,OP,P,125,-740,0.4679196477,USD,100,2022-1-1
HYPE3,OP,P,28.5,11800,1.999426126,BRL,1,2022-1-1
MGLU3,OP,P,9.89,800,2.89757061,BRL,1,2021-7-12
CIEL3,OP,C,2.36,-143000,0.07566402107,BRL,1,2022-1-1
KLBN11,OP,C,24.4,35400,0.6919213533,BRL,1,2021-7-12
VALE3,OP,P,93.47,-10000,22.01645279,BRL,1,2022-1-1
VIIA3,OP,P,11.5,36100,6.216517448,BRL,1,2021-7-12
UGPA3,OP,C,14.8,3000,0.6724738479,BRL,1,2022-1-1
VALE3,OP,P,113.47,27000,42.5340004,BRL,1,2021-7-12
BRKM5,OP,C,70,14900,0.02185411379,BRL,1,2021-7-12
VALE3,OP,C,86.47,9000,0.07002601773,BRL,1,2021-7-12
VIIA3,OP,P,7.7,15900,2.440907955,BRL,1,2022-1-1
EMBR3,OP,P,21.5,12400,3.544267893,BRL,1,2022-1-1
VALE3,OP,P,79.61,10700,10.47647095,BRL,1,2022-4-4
SANB11,OP,P,36.7,25000,3.887381315,BRL,1,2021-7-12
BRFS3,OP,P,24.5,16300,5.188036919,BRL,1,2021-7-12
ITUB4,OP,C,25.16,-201300,0.0411908254,BRL,1,2021-7-12
ITUB4,OP,C,23.41,50900,0.276496768,BRL,1,2021-7-12
ABEV,OP,P,15.32,-178800,0.1956985891,BRL,1,2021-7-12
BBAS,OP,P,33.71,10200,2.667735338,BRL,1,2022-1-1
MGLU3,OP,P,16.49,12500,9.293038368,BRL,1,2022-1-1
VIIA3,OP,P,8.4,-15300,3.13956213,BRL,1,2021-7-12
EMBR3,OP,P,19,14200,1.361491561,BRL,1,2021-7-12
UGPA3,OP,C,15.3,5500,0.5051906705,BRL,1,2022-1-1
VALE3,OP,P,66.21,2700,4.691240311,BRL,1,2022-5-7
MGLU3,OP,P,12.24,20800,5.207009792,BRL,1,2021-7-12
CMIG4,OP,P,12,-100,0.08100801706,BRL,1,2021-7-12
VIIA3,OP,P,13.5,41200,8.208263397,BRL,1,2021-7-12
YDUQ3,OP,P,21,100,1.337285757,BRL,1,2022-1-1
ELET6,OP,P,37.5,12000,5.18320322,BRL,1,2021-7-12
BRAP4,OP,P,54.66,-84800,4.697969913,BRL,1,2021-7-12
MGLU3,ST,,,5300,6.984999657,BRL,1,
PETR4,OP,P,35.1,9600,5.428694725,BRL,1,2022-1-1
VALE3,OP,P,82.97,8800,12.27638149,BRL,1,2021-7-12
BRDT3,OP,C,24.22,70900,0.07485382259,BRL,1,2021-7-12
VIIA3,OP,C,10,100,0.16898866,BRL,1,2022-0-5
ITUB4,OP,C,24.41,-700,0.09408376366,BRL,1,2021-7-12
TAEE11,ST,,,32878,36.00499725,BRL,1,
JBSS3,OP,C,34.48,-400,1.089837551,BRL,1,2021-7-12
BBDC4,OP,C,19.59,-950,1.447750568,BRL,1,2022-1-1
ITSA4,OP,P,10.39,554600,0.7006969452,BRL,1,2022-1-1
BRKM5,OP,C,65,100,0.08417052031,BRL,1,2021-7-12
USIM5,OP,C,18.82,5000,0.01227626204,BRL,1,2021-7-12
USIM5,OP,C,17.82,214600,0.019087255,BRL,1,2021-7-12
VIIA3,OP,P,12.75,14100,7.461472511,BRL,1,2021-7-12
VIIA3,OP,C,6.6,74400,0.04629504308,BRL,1,2021-7-12
BRFS3,OP,P,21.25,75000,2.343818903,BRL,1,2022-1-1
LAME4,OP,C,6.1,29100,0.08201301098,BRL,1,2021-7-12
PETR4,OP,C,33.99,-25000,0.0788320452,BRL,1,2021-7-12
CIEL3,OP,P,2.16,-167900,0.180057928,BRL,1,2021-7-12
QQQ,OP,P,299,650,1.069687128,USD,100,2022-1-1
VALE3,OP,P,103.61,-1900,30.01745033,BRL,1,2022-4-4
PETR4,OP,P,19.74,-143600,0.03281387314,BRL,1,2021-7-12
ABEV,OP,P,16,75800,0.6942566037,BRL,1,2022-1-1
CSNA,OP,P,38.73,500,16.76855278,BRL,1,2021-7-12
PETR4,OP,P,29.1,74200,1.371762156,BRL,1,2022-1-1
VALE3,OP,C,55.47,-11000,16.28960037,BRL,1,2022-1-1
