symbol_underlying,symbol,product_type,put_call,strike,net_position,price,currency,multiplier,maturity_date
ITUB4,ITB4A,OP,C,26.74,3400,0.08,BRL,1,2022-1-1
EMBR3,EMB3E,OP,P,19.5,-19800,1.7,BRL,1,2021-7-12
RADL3,RAL3A,OP,C,23.9,9200,0.41,BRL,1,2022-1-1
VALE3,VAL3E,OP,P,105.61,-100,32.26,BRL,1,2022-4-4
PCAR3,PCA3A,OP,C,36,9000,0.01,BRL,1,2022-1-1
BBAS3,BBASE,OP,P,23.37,-9100,0.01,BRL,1,2021-7-12
ITUB4,ITB4E,OP,C,24.49,-5800,0.38,BRL,1,2022-1-1
AMZ,AMZ,ST,,,680,3443.72,USD,1,
TAE11,TAE1E,OP,P,36,-24900,1.11,BRL,1,2022-1-1
VALE3,VAL3A,OP,C,65.47,30500,17.02,BRL,1,2022-6-12
ITUB4,ITB4E,OP,P,23.74,41200,1.77,BRL,1,2022-1-1
VALE3,VAL3E,OP,P,45.47,-47200,0.07,BRL,1,2022-1-1
MGLU3,MGL3A,OP,C,17.24,21200,0.01,BRL,1,2021-7-12
GGBR4,GGB4A,OP,C,27.9,-23400,0.39,BRL,1,2021-7-12
VALE3,VAL3E,OP,P,119.47,15000,47.76,BRL,1,2022-1-1
SANB1,SAN1A,OP,C,34.2,2000,0.46,BRL,1,2021-7-12
USIM5,USIME,OP,C,17.57,28000,0.03,BRL,1,2021-7-12
VIVT3,VVI3E,OP,C,50.5,1000,1.38,BRL,1,2022-1-1
MGLU3,MGL3A,OP,C,9.99,25400,0.04,BRL,1,2021-7-12
PETR4,PTR4E,OP,P,21.49,77400,0.03,BRL,1,2021-7-12
ABEV3,ABV3E,OP,C,15.25,-1400,1.21,BRL,1,2022-1-1
MULT3,MUL3A,OP,C,20.5,-30400,0.84,BRL,1,2022-1-1
B3SA3,B3SAE,OP,P,16.56,167700,5.48,BRL,1,2021-7-12
ITSA4,ITSAE,OP,C,10.47,57000,0.02,BRL,1,2021-7-12
BBAS3,BBASA,OP,C,31.71,-106300,1.65,BRL,1,2022-1-1
MULT3,MUL3A,OP,C,21.5,-11100,0.16,BRL,1,2021-7-12
PETR4,PTR4E,OP,C,30.35,-900,1.95,BRL,1,2022-8-2
ABEV3,ABV3A,OP,C,20.07,57200,0.01,BRL,1,2021-7-12
BBSE3,BBS3A,OP,C,28,500,0.01,BRL,1,2022-1-1
VALE3,VAL3E,OP,C,96.47,23300,0.01,BRL,1,2021-7-12
ESCOQ,QQQ,OP,P,306,1200,1.63,USD,100,2022-1-1
VALE3,VAL3E,OP,C,86.97,12000,0.42,BRL,1,2022-1-1
BBDC3,BDC3E,OP,P,16.49,25800,0.65,BRL,1,2022-1-1
B3SA3,B3SAE,OP,C,16.31,-4200,0.01,BRL,1,2021-7-12
B3SA3,B3SAE,OP,C,20.06,100,0.01,BRL,1,2021-7-12
PETR4,PTR4A,OP,C,30.6,351700,1.31,BRL,1,2022-1-1
ITUB4,ITB4E,OP,C,24.41,-700,0.08,BRL,1,2021-7-12
CSNA3,CSN3A,OP,C,20.23,87300,1.99,BRL,1,2021-7-12
BRML3,BRM3E,OP,P,7,120000,0.1,BRL,1,2021-7-12
VALE3,VAL3E,OP,C,81.97,-53200,0.15,BRL,1,2021-7-12
PETR4,PTR4E,OP,C,28.99,112100,1.39,BRL,1,2021-7-12
BRKM5,BRK5A,OP,C,61,100,1.32,BRL,1,2022-1-1
AAPL,AAPL,OP,P,145,700,1.815,USD,100,2022-1-1
BRKM5,BRK5E,OP,P,52,1000,3.26,BRL,1,2022-1-1
PETR4,PTR4E,OP,P,25.6,53300,1.41,BRL,1,2022-5-7
JBSS3,JBS3E,OP,P,28.98,-3600,0.12,BRL,1,2021-7-12
VIVT3,VVI3E,OP,P,44.38,-1000,0.12,BRL,1,2021-7-12
CIEL3,CIL3E,OP,P,5.96,6300,3.93,BRL,1,2021-7-12
VIIA3,VIA3E,OP,P,6.3,16900,1.26,BRL,1,2022-1-1
B3SA3,B3SAE,OP,P,10.85,12100,0.6,BRL,1,2022-1-1
BRFS3,BRF3A,OP,C,24.25,26100,0.16,BRL,1,2022-1-1
BBDC4,BDC4E,OP,C,25.3,-25800,0.06,BRL,1,2022-1-1
USIM5,USIMA,OP,C,13.82,-30300,0.53,BRL,1,2021-7-12
BBAS3,BBASE,OP,C,31.87,69300,0.82,BRL,1,2021-7-12
USIM5,USIMA,OP,C,12.46,95800,1.77,BRL,1,2022-1-1
PETR4,PTR4A,OP,C,34.1,223800,2.45,BRL,1,2022-5-7
GGBR4,GGB4A,OP,C,31.4,5000,0.03,BRL,1,2021-7-12
GGBR4,GGB4E,OP,C,24.53,2600,2.83,BRL,1,2022-1-1
PETR4,PTR4E,OP,C,23.99,45500,5.72,BRL,1,2021-7-12
BOV11,BOV9A,OP,C,128,-31675,0.01,BRL,1,2022-1-1
MGLU3,MGL3E,OP,P,21.74,12300,14.77,BRL,1,2021-7-12
PETR4,PTR4E,OP,P,23.85,-132800,0.33,BRL,1,2022-1-1
ITSA4,ITSAE,OP,P,10.97,25500,1.31,BRL,1,2021-7-12
BBDC4,BDC4E,OP,P,18.95,-56920,0.31,BRL,1,2021-7-12
VALE3,VAL3E,OP,P,48.47,633400,0.01,BRL,1,2021-7-12
PETR4,PTR4E,OP,P,33.24,23900,3.76,BRL,1,2021-7-12
VIIA3,VIA3E,OP,P,19,32300,13.72,BRL,1,2021-7-12
ABEV3,ABV3A,OP,C,20.57,-24600,0.01,BRL,1,2021-7-12
LAME4,LAM4E,OP,C,5,-5700,0.43,BRL,1,2021-7-12
